x_f/dx-theor.,P_q(x_f)-theor.,P_c(x_f)-theor.,x_f/dx-exp.,P_e(x_f),P_q(x_f)-exp.,S.E. of P_q(x_f)-exp.,P_c(x_f)-exp.,S.E. of P_c(x_f)-exp.
-8.0,0.74085429,1.030184403,-8.0,0.730511172,0.662391501,0.019011431,0.948344512,0.020977948
-7.98115,0.742571396,1.030184403,-7.0,0.82219858,0.875307006,0.020652,1.125466335,0.019144015
-7.96231,0.744287949,1.030184403,-6.0,0.880387845,0.845663451,0.02064871,0.958026902,0.019113716
-7.94346,0.74600393,1.030184403,-5.0,0.965941791,1.015475533,0.026043416,1.064686403,0.021012928
-7.92462,0.74771932,1.030184403,-4.0,1.036869786,0.986045651,0.031264777,0.993496264,0.019622842
-7.90577,0.7494341,1.030184403,-3.0,1.123367341,1.097526145,0.028174682,1.033014144,0.020254347
-7.88693,0.751148251,1.030184403,-2.0,1.115189391,1.155392031,0.039450206,1.046023888,0.032980548
-7.86808,0.752861754,1.030184403,-1.0,1.132017097,1.12080028,0.043080108,0.982964024,0.028956073
-7.84923,0.754574589,1.030184403,0.0,1.185173776,1.299439871,0.033731614,1.094094773,0.017764955
-7.83039,0.756286737,1.030184403,1.0,1.167874265,1.183615445,0.027263026,1.017162281,0.023127438
-7.81154,0.75799818,1.030184403,2.0,1.1582809,1.206070606,0.024892533,1.041952684,0.01998592
-7.7927,0.759708897,1.030184403,3.0,1.118649293,1.216076309,0.02700446,1.084753109,0.023407071
-7.77385,0.761418871,1.030184403,4.0,1.066436223,1.09043859,0.040707616,0.9959378,0.031915337
-7.75501,0.763128081,1.030184403,5.0,0.974906083,1.144496359,0.026747103,1.118945029,0.020997483
-7.73616,0.764836508,1.030184403,6.0,0.926781988,0.926573029,0.019916679,0.976668698,0.026212447
-7.71731,0.766544134,1.030184403,7.0,0.888093991,0.894658985,0.027755698,1.020184867,0.026014541
-7.69847,0.768250938,1.030184403,8.0,0.78099429,0.793164059,0.019714842,1.011413138,0.015265226
-7.67962,0.769956902,1.030184403,,,,,,
-7.66078,0.771662006,1.030184403,,,,,,
-7.64193,0.773366231,1.030184403,,,,,,
-7.62309,0.775069558,1.030184403,,,,,,
-7.60424,0.776771967,1.030184403,,,,,,
-7.58539,0.77847344,1.030184403,,,,,,
-7.56655,0.780173956,1.030184403,,,,,,
-7.5477,0.781873497,1.030184403,,,,,,
-7.52886,0.783572043,1.030184403,,,,,,
-7.51001,0.785269575,1.030184403,,,,,,
-7.49117,0.786966073,1.030184403,,,,,,
-7.47232,0.788661519,1.030184403,,,,,,
-7.45347,0.790355892,1.030184403,,,,,,
-7.43463,0.792049173,1.030184403,,,,,,
-7.41578,0.793741344,1.030184403,,,,,,
-7.39694,0.795432384,1.030184403,,,,,,
-7.37809,0.797122274,1.030184403,,,,,,
-7.35925,0.798810996,1.030184403,,,,,,
-7.3404,0.800498528,1.030184403,,,,,,
-7.32155,0.802184853,1.030184403,,,,,,
-7.30271,0.803869951,1.030184403,,,,,,
-7.28386,0.805553801,1.030184403,,,,,,
-7.26502,0.807236386,1.030184403,,,,,,
-7.24617,0.808917685,1.030184403,,,,,,
-7.22733,0.810597679,1.030184403,,,,,,
-7.20848,0.812276348,1.030184403,,,,,,
-7.18963,0.813953674,1.030184403,,,,,,
-7.17079,0.815629637,1.030184403,,,,,,
-7.15194,0.817304216,1.030184403,,,,,,
-7.1331,0.818977394,1.030184403,,,,,,
-7.11425,0.82064915,1.030184403,,,,,,
-7.09541,0.822319465,1.030184403,,,,,,
-7.07656,0.82398832,1.030184403,,,,,,
-7.05771,0.825655694,1.030184403,,,,,,
-7.03887,0.82732157,1.030184403,,,,,,
-7.02002,0.828985927,1.030184403,,,,,,
-7.00118,0.830648745,1.030184403,,,,,,
-6.98233,0.832310007,1.030184403,,,,,,
-6.96349,0.833969691,1.030184403,,,,,,
-6.94464,0.835627778,1.030184403,,,,,,
-6.9258,0.83728425,1.030184403,,,,,,
-6.90695,0.838939087,1.030184403,,,,,,
-6.8881,0.840592269,1.030184403,,,,,,
-6.86926,0.842243777,1.030184403,,,,,,
-6.85041,0.843893591,1.030184403,,,,,,
-6.83157,0.845541693,1.030184403,,,,,,
-6.81272,0.847188062,1.030184403,,,,,,
-6.79388,0.84883268,1.030184403,,,,,,
-6.77503,0.850475526,1.030184403,,,,,,
-6.75618,0.852116582,1.030184403,,,,,,
-6.73734,0.853755828,1.030184403,,,,,,
-6.71849,0.855393245,1.030184403,,,,,,
-6.69965,0.857028814,1.030184403,,,,,,
-6.6808,0.858662514,1.030184403,,,,,,
-6.66196,0.860294327,1.030184403,,,,,,
-6.64311,0.861924234,1.030184403,,,,,,
-6.62426,0.863552214,1.030184403,,,,,,
-6.60542,0.865178249,1.030184403,,,,,,
-6.58657,0.86680232,1.030184403,,,,,,
-6.56773,0.868424406,1.030184403,,,,,,
-6.54888,0.870044489,1.030184403,,,,,,
-6.53004,0.87166255,1.030184403,,,,,,
-6.51119,0.873278568,1.030184403,,,,,,
-6.49234,0.874892526,1.030184403,,,,,,
-6.4735,0.876504403,1.030184403,,,,,,
-6.45465,0.878114181,1.030184403,,,,,,
-6.43581,0.879721839,1.030184403,,,,,,
-6.41696,0.881327359,1.030184403,,,,,,
-6.39812,0.882930722,1.030184403,,,,,,
-6.37927,0.884531909,1.030184403,,,,,,
-6.36042,0.886130899,1.030184403,,,,,,
-6.34158,0.887727675,1.030184403,,,,,,
-6.32273,0.889322216,1.030184403,,,,,,
-6.30389,0.890914504,1.030184403,,,,,,
-6.28504,0.892504519,1.030184403,,,,,,
-6.2662,0.894092243,1.030184403,,,,,,
-6.24735,0.895677656,1.030184403,,,,,,
-6.2285,0.897260739,1.030184403,,,,,,
-6.20966,0.898841474,1.030184403,,,,,,
-6.19081,0.90041984,1.030184403,,,,,,
-6.17197,0.901995819,1.030184403,,,,,,
-6.15312,0.903569392,1.030184403,,,,,,
-6.13428,0.905140539,1.030184403,,,,,,
-6.11543,0.906709243,1.030184403,,,,,,
-6.09658,0.908275483,1.030184403,,,,,,
-6.07774,0.909839241,1.030184403,,,,,,
-6.05889,0.911400498,1.030184403,,,,,,
-6.04005,0.912959235,1.030184403,,,,,,
-6.0212,0.914515432,1.030184403,,,,,,
