S(pi/\hbar),P_{(l)} (a.u.),S.D. of P_{(l)}
0.0,1.09645,0.24764
0.0202,1.07446,0.22529
0.0404,1.08336,0.22545
0.06061,1.08325,0.23073
0.08081,1.0738,0.22672
0.10101,1.05899,0.22285
0.12121,1.0506,0.22507
0.14141,1.04399,0.22224
0.16162,1.03227,0.21751
0.18182,1.03185,0.21917
0.20202,1.0295,0.22286
0.22222,1.02539,0.2206
0.24242,1.02237,0.22066
0.26263,1.01553,0.21916
0.28283,1.01758,0.21627
0.30303,1.00994,0.21503
0.32323,1.0102,0.21567
0.34343,1.00838,0.21386
0.36364,1.00797,0.215
0.38384,1.00581,0.2146
0.40404,1.00461,0.21868
0.42424,1.00157,0.21673
0.44444,1.00398,0.21633
0.46465,1.00015,0.21608
0.48485,0.99658,0.21523
0.50505,1.00305,0.21539
0.52525,0.99584,0.21378
0.54545,1.00051,0.2169
0.56566,0.9975,0.21392
0.58586,0.9959,0.21551
0.60606,0.99335,0.2148
0.62626,0.99404,0.21395
0.64646,0.99194,0.219
0.66667,0.99356,0.21773
0.68687,0.98929,0.21587
0.70707,0.98556,0.21791
0.72727,0.99547,0.22005
0.74747,0.98721,0.21473
0.76768,0.98663,0.21742
0.78788,0.98874,0.21846
0.80808,0.98637,0.22309
0.82828,0.9862,0.22003
0.84848,0.98687,0.22074
0.86869,0.98834,0.22486
0.88889,0.98823,0.22279
0.90909,0.98219,0.2233
0.92929,0.99059,0.2283
0.94949,0.99008,0.22764
0.9697,0.9841,0.22556
0.9899,0.99079,0.23082
1.0101,0.98637,0.22825
1.0303,0.98462,0.22864
1.05051,0.98574,0.22909
1.07071,0.98936,0.23513
1.09091,0.98481,0.22883
1.11111,0.98518,0.23049
1.13131,0.98507,0.23016
1.15152,0.98775,0.23677
1.17172,0.97954,0.23026
1.19192,0.98342,0.23565
1.21212,0.99058,0.24046
1.23232,0.98191,0.23244
1.25253,0.98351,0.23818
1.27273,0.98835,0.23564
1.29293,0.98803,0.2379
1.31313,0.98478,0.24112
1.33333,0.98677,0.23756
1.35354,0.98554,0.24459
1.37374,0.99381,0.24673
1.39394,0.98243,0.24196
1.41414,0.99134,0.24695
1.43434,0.98674,0.24805
1.45455,0.99107,0.25165
1.47475,0.9952,0.25067
1.49495,0.98169,0.25377
1.51515,0.99425,0.25681
1.53535,0.9966,0.25343
1.55556,0.98214,0.24426
1.57576,0.98949,0.25289
1.59596,0.99652,0.27259
1.61616,0.98263,0.25778
1.63636,0.99588,0.26312
1.65657,0.99687,0.2566
1.67677,0.98568,0.25618
1.69697,0.9932,0.26998
1.71717,0.97629,0.2486
1.73737,1.00252,0.27934
1.75758,1.0038,0.29233
1.77778,0.97901,0.24865
1.79798,0.97762,0.26338
1.81818,1.00778,0.281
1.83838,1.00438,0.28036
1.85859,0.97491,0.25394
1.87879,0.97593,0.28522
1.89899,0.98575,0.28449
1.91919,0.99766,0.266
1.93939,0.99064,0.27682
1.9596,0.99756,0.27899
1.9798,0.99085,0.27712
2.0,0.99751,0.28872
