S(\pi/\hbar),\theta(\pi)-exp.,S.D. of \theta(\pi),\theta(\pi)-theor.
0.0,0.0,0.061752117919655,0.012907465884753
0.0202,0.005627718787729,0.062516061646496,0.032235242173832
0.0404,0.02332893155841,0.062929864498535,0.049331666160764
0.06061,0.039085270924508,0.062993526475772,0.068328400168213
0.08081,0.058368483829522,0.062134089783076,0.091179866897347
0.10101,0.077839499567384,0.061433808033472,0.109326713508685
0.12121,0.095231951748466,0.061338315067616,0.129972292726565
0.14141,0.118198010036627,0.060319723431828,0.152954266509035
0.16162,0.137000575013504,0.060924512215578,0.172247028710635
0.18182,0.159062633224902,0.061210991113143,0.18947077665204
0.20202,0.179278494096435,0.061879441874129,0.207849989480292
0.22222,0.199102833807961,0.062356906703405,0.229711512463394
0.24242,0.220926159604722,0.062579723623733,0.251687627005523
0.26263,0.239330837223869,0.062420568680641,0.269904501791822
0.28283,0.258359402219936,0.063184512407482,0.28886622171179
0.30303,0.280609263264183,0.063502822293666,0.310667265816518
0.32323,0.301261208679787,0.064203104043271,0.330590281592761
0.34343,0.319414421488848,0.064171273054652,0.35064380442234
0.36364,0.338821775249474,0.063884794157087,0.370601834286064
0.38384,0.359432340379875,0.064266766020507,0.388977864015454
0.40404,0.380975553476794,0.06480789282702,0.408993189658691
0.42424,0.400733048112221,0.064171273054652,0.428753867392981
0.44444,0.420044908906992,0.065412681610769,0.4500551649764
0.46465,0.44061727685105,0.065062540735967,0.472406885184226
0.48485,0.460024630611676,0.065635498531098,0.489286858448552
0.50505,0.478938604048717,0.065030709747348,0.508789705175033
0.52525,0.499931141042538,0.065603667542479,0.529215650571447
0.54545,0.519233452540723,0.065603667542479,0.548934948020533
0.56566,0.540397876873083,0.065062540735967,0.570519541402655
0.58586,0.560298610957294,0.065317188644914,0.590264303642636
0.60606,0.57856323222652,0.065317188644914,0.607962333314455
0.62626,0.601764839830456,0.065349019633532,0.629572391487472
0.64646,0.622655517660698,0.065094371724585,0.649352167814933
0.66667,0.641798674215792,0.065635498531098,0.670752141463069
0.68687,0.661231492767312,0.065699160508334,0.691916565795429
0.70707,0.682695128392685,0.066081132371755,0.709490454611637
0.72727,0.702042003274936,0.066208456326228,0.728830963296164
0.74747,0.721363413366292,0.065603667542479,0.750224570746576
0.76768,0.744660513936084,0.066303949292084,0.770080741446721
0.78788,0.76308110704954,0.066081132371755,0.790455757261346
0.80808,0.783198291856355,0.066272118303465,0.811126801270121
0.82828,0.801978575141199,0.066144794348992,0.830040774707162
0.84848,0.826536182860278,0.066240287314847,0.85007519894357
0.86869,0.845898973236838,0.066081132371755,0.86888413011817
0.88889,0.865096242472583,0.06735437191649,0.891420470059982
0.90909,0.886680835854705,0.068086484654713,0.907380527753237
0.92929,0.9057571473337,0.066845076098596,0.927730078776967
0.94949,0.926861092787685,0.066940569064451,0.949983122920076
0.9697,0.948945432691117,0.067959160700239,0.970116223221201
0.9899,0.969380927384116,0.06853211849537,0.988740534661814
1.0101,0.987807886695296,0.068404794540897,1.01277929726641
1.0303,1.0104110717132,0.068850428381554,1.03180467916361
1.05051,1.02960515785008,0.068563949483989,1.04993561028064
1.07071,1.05242161049174,0.069741696062869,1.06753496388775
1.09091,1.07046023174177,0.069869020017342,1.08750890924578
1.11111,1.09592502263648,0.071747048345826,1.11177685496843
1.13131,1.11072961544289,0.070441977812473,1.1300542086331
1.15152,1.13297629338827,0.070378315835236,1.14689280161223
1.17172,1.15394973178892,0.071365076482406,1.1697824655277
1.19192,1.17598950830829,0.070632963744183,1.19062857997388
1.21212,1.19454060847508,0.070632963744183,1.21014097599695
1.23232,1.21280204664544,0.070441977812473,1.2323653722503
1.25253,1.23921221790211,0.071810710323063,1.2517663598132
1.27273,1.25061089492635,0.069423386176685,1.26896782606257
1.29293,1.27684281264676,0.071174090550696,1.28902134889215
1.31313,1.29803270177001,0.070155498914907,1.30931997033409
1.33333,1.31744005553064,0.07206535823201,1.33134383135915
1.35354,1.33492481757872,0.071715217357208,1.34927741034674
1.37374,1.35614972078945,0.070282822869381,1.36693405973336
1.39394,1.37906803259468,0.06932789321083,1.39201369566578
1.41414,1.39629496363495,0.071269583516551,1.41250330303943
1.43434,1.42170882494786,0.071492400436879,1.43285922026088
1.45455,1.4413071646402,0.070378315835236,1.4492394470039
1.47475,1.45682795469052,0.070919442641749,1.46927705433917
1.49495,1.47619392816594,0.071365076482406,1.48944516872777
1.51515,1.50536066303696,0.071365076482406,1.50928860703247
1.53535,1.52305550960992,0.070569301766946,1.52730176349161
1.55556,1.53924156732237,0.070760287698657,1.55201215995606
1.57576,1.56194979460272,0.072479161084049,1.57000940092089
1.59596,1.58749097987011,0.070282822869381,1.58863689546037
1.61616,1.60294810794319,0.071969865266155,1.60864585490588
1.63636,1.62428441961409,0.072701978004378,1.63177106813713
1.65657,1.64775022442356,0.072097189220629,1.64853008364471
1.67677,1.6618099720963,0.072479161084049,1.67219642368247
1.69697,1.68677819956855,0.071651555379971,1.68736707285799
1.71717,1.7050078067503,0.071906203288918,1.70980155363623
1.73737,1.73185406255104,0.072160851197865,1.72751231570349
1.75758,1.74829476817243,0.071492400436879,1.74802420476918
1.77778,1.7705509954144,0.07442085138977,1.77277916461769
1.79798,1.78519006708,0.075821414888979,1.78904798290054
1.81818,1.81099863265178,0.069009583324646,1.80879274514052
1.83838,1.83717643769153,0.07324310481089,1.82823192988977
1.85859,1.84954595986863,0.075630428957269,1.85149719947094
1.87879,1.87389666616169,0.073179442833653,1.8726202435181
1.89899,1.89689773853734,0.07540761203694,1.89447858340234
1.91919,1.9112471482065,0.073147611845035,1.90660300696708
1.93939,1.92704168475894,0.073147611845035,1.93690929123064
1.9596,1.95081625015801,0.07422986545806,1.94792917949032
1.9798,1.98806168994037,0.075057471162138,1.97272551962404
2.0,1.99569476101106,0.077158316410951,1.99035988731862
