j,"S_th(0,0)","S_exp(0,0)-M","S_exp(0,0)-SD","S_th(-10,10)","S_exp(-10,10)-M","S_exp(-10,10)-SD","S_th(15,-15)","S_exp(15,-15)-M","S_exp(15,-15)-SD",j_subfigure,"S_subfigure(0,0)","S_subfigure(-10,10)","S_subfigure(15,-15)"
1 ,0.00000 ,0.00000 ,0.00000 ,0.18735 ,0.16214 ,0.00908 ,0.41328 ,0.48571 ,0.01444 ,1,0.00000 ,0.16674 ,0.47846 
10001 ,0.08266 ,0.09114 ,0.01600 ,0.26450 ,0.26327 ,0.00943 ,0.49594 ,0.57441 ,0.01968 ,2,0.00886 ,0.18236 ,0.48121 
20001 ,0.10470 ,0.12050 ,0.01817 ,0.29205 ,0.29123 ,0.00450 ,0.51798 ,0.58335 ,0.02747 ,3,0.01132 ,0.19279 ,0.49096 
30001 ,0.12674 ,0.11032 ,0.00468 ,0.30858 ,0.29310 ,0.01434 ,0.54002 ,0.56411 ,0.01402 ,4,-0.00372 ,0.19417 ,0.48399 
40001 ,0.14327 ,0.13422 ,0.01078 ,0.32512 ,0.30839 ,0.00532 ,0.55655 ,0.58735 ,0.01640 ,5,0.00989 ,0.18004 ,0.49852 
50001 ,0.15429 ,0.13500 ,0.00922 ,0.33614 ,0.32586 ,0.01881 ,0.56757 ,0.66645 ,0.01325 ,6,0.01414 ,0.19047 ,0.49054 
60001 ,0.16531 ,0.13710 ,0.02039 ,0.34716 ,0.32662 ,0.01317 ,0.57859 ,0.64182 ,0.02044 ,7,-0.00236 ,0.19186 ,0.48209 
70001 ,0.17633 ,0.14744 ,0.00721 ,0.35818 ,0.33922 ,0.00283 ,0.58961 ,0.64253 ,0.00535 ,8,0.00011 ,0.18595 ,0.48460 
80001 ,0.18735 ,0.17669 ,0.01109 ,0.36920 ,0.33850 ,0.00890 ,0.60063 ,0.64577 ,0.01275 ,9,-0.01494 ,0.17653 ,0.48080 
90001 ,0.19286 ,0.20408 ,0.00832 ,0.38022 ,0.35850 ,0.01084 ,0.60614 ,0.65473 ,0.00822 ,10,-0.00132 ,0.16766 ,0.48357 
100001 ,0.20388 ,0.22078 ,0.01087 ,0.38573 ,0.34321 ,0.00169 ,0.61716 ,0.67662 ,0.01703 ,11,0.00134 ,0.16106 ,0.49810 
110001 ,0.20940 ,0.23744 ,0.01634 ,0.39675 ,0.38964 ,0.00793 ,0.62268 ,0.69154 ,0.00043 ,12,0.00380 ,0.17668 ,0.46341 
120001 ,0.22042 ,0.22804 ,0.00591 ,0.40226 ,0.38795 ,0.01210 ,0.63370 ,0.72289 ,0.02699 ,13,-0.01124 ,0.18711 ,0.47316 
130001 ,0.22593 ,0.23414 ,0.02137 ,0.40777 ,0.38236 ,0.00282 ,0.63921 ,0.72395 ,0.00873 ,14,0.01749 ,0.18849 ,0.46619 
