x,V_m_th,V_m_exp
-16,0.5,0.45395
-15,0.46875,0.44788
-14,0.4375,0.43546
-13,0.40625,0.41762
-12,0.375,0.39736
-11,0.34375,0.37086
-10,0.3125,0.35247
-9,0.28125,0.32655
-8,0.25,0.29226
-7,0.21875,0.26515
-6,0.1875,0.2347
-5,0.15625,0.19243
-4,0.125,0.15494
-3,0.09375,0.11145
-2,0.0625,0.0636
-1,0.03125,0.01206
0,0,0
1,0.03125,0.00233
2,0.0625,0.03902
3,0.09375,0.08992
4,0.125,0.12998
5,0.15625,0.16399
6,0.1875,0.20619
7,0.21875,0.23183
8,0.25,0.26417
9,0.28125,0.29557
10,0.3125,0.31872
11,0.34375,0.3405
12,0.375,0.36806
13,0.40625,0.38793
14,0.4375,0.40584
15,0.46875,0.42996
16,0.5,0.44827
