x_k,P_A,P_D,P_L,P_R,Sigma_x,Sigma_y,S(x_k)
-16,0.12358,0.05356,0.16896,0.01203,-0.07002,-0.15693,0.60717
-15,0.13449,0.0435,0.16482,0.01806,-0.09099,-0.14675,0.47194
-14,0.14251,0.03492,0.16103,0.02462,-0.10759,-0.13641,0.35909
-13,0.15034,0.02935,0.15938,0.03091,-0.12099,-0.12847,0.27145
-12,0.15749,0.02363,0.15121,0.03703,-0.13386,-0.11418,0.16235
-11,0.1609,0.02013,0.14839,0.04088,-0.14077,-0.10751,0.10836
-10,0.16442,0.01817,0.1466,0.0442,-0.14625,-0.10241,0.067
-9,0.16528,0.01603,0.14283,0.04765,-0.14925,-0.09518,0.02383
-8,0.16559,0.01508,0.14309,0.0496,-0.1505,-0.09349,0.01196
-7,0.16845,0.01531,0.14112,0.05071,-0.15314,-0.09041,-0.01056
-6,0.16701,0.016,0.14523,0.04976,-0.15101,-0.09547,0.01987
-5,0.16472,0.01621,0.14752,0.04743,-0.14851,-0.10009,0.04916
-4,0.164,0.01808,0.14579,0.04544,-0.14593,-0.10035,0.05857
-3,0.15777,0.02129,0.14755,0.03982,-0.13648,-0.10773,0.12435
-2,0.15527,0.02492,0.15334,0.03544,-0.13035,-0.1179,0.19146
-1,0.15023,0.03158,0.15952,0.02982,-0.11865,-0.1297,0.28596
0,0.14274,0.0396,0.16826,0.02349,-0.10314,-0.14477,0.40791
1,0.13378,0.04965,0.17262,0.01693,-0.08413,-0.15569,0.53149
2,0.12122,0.06195,0.17823,0.01118,-0.05927,-0.16705,0.68608
3,0.1084,0.07668,0.18513,0.00694,-0.03172,-0.17818,0.85076
4,0.09336,0.09213,0.18267,0.00472,-0.00123,-0.17795,1.02012
5,0.07668,0.10761,0.17781,0.00546,0.03093,-0.17235,1.20442
6,0.05793,0.12603,0.17074,0.00944,0.0681,-0.16129,1.42642
7,0.04138,0.14182,0.15886,0.01747,0.10044,-0.1414,1.64464
8,0.0248,0.15485,0.14396,0.0305,0.13005,-0.11346,1.88037
9,0.01328,0.16539,0.12005,0.04763,0.15211,-0.07242,2.15331
10,0.00734,0.17313,0.09627,0.06963,0.16579,-0.02663,2.4385
11,0.00698,0.17255,0.07319,0.09277,0.16557,0.01959,2.71548
12,0.0142,0.1668,0.05,0.11947,0.1526,0.06947,3.02478
13,0.02948,0.14948,0.02762,0.14338,0.11999,0.11575,3.3652
14,0.05349,0.12664,0.01234,0.16178,0.07315,0.14945,3.71343
15,0.08199,0.09508,0.00627,0.17074,0.01309,0.16447,4.08927
16,0.11615,0.06547,0.01159,0.17185,-0.05068,0.16026,4.47494
